table,elmer_name,elmer_value,model_value,model_name
person,age_detailed,22 years old,22,age
person,age_detailed,23 years old,23,age
person,age_detailed,24 years old,24,age
person,age_detailed,25 years old,25,age
person,age_detailed,26 years old,26,age
person,age_detailed,27 years old,27,age
person,age_detailed,28 years old,28,age
person,age_detailed,29 years old,29,age
person,age_detailed,30 years old,30,age
person,age_detailed,31 years old,31,age
person,age_detailed,32 years old,32,age
person,age_detailed,33 years old,33,age
person,age_detailed,34 years old,34,age
person,age_detailed,35 years old,35,age
person,age_detailed,36 years old,36,age
person,age_detailed,37 years old,37,age
person,age_detailed,38 years old,38,age
person,age_detailed,39 years old,39,age
person,age_detailed,40 years old,40,age
person,age_detailed,41 years old,41,age
person,age_detailed,42 years old,42,age
person,age_detailed,43 years old,43,age
person,age_detailed,44 years old,44,age
person,age_detailed,45 years old,45,age
person,age_detailed,46 years old,46,age
person,age_detailed,47 years old,47,age
person,age_detailed,48 years old,48,age
person,age_detailed,49 years old,49,age
person,age_detailed,50 years old,50,age
person,age_detailed,51 years old,51,age
person,age_detailed,52 years old,52,age
person,age_detailed,53 years old,53,age
person,age_detailed,54 years old,54,age
person,age_detailed,55 years old,55,age
person,age_detailed,56 years old,56,age
person,age_detailed,57 years old,57,age
person,age_detailed,58 years old,58,age
person,age_detailed,59 years old,59,age
person,age_detailed,60 years old,60,age
person,age_detailed,61 years old,61,age
person,age_detailed,62 years old,62,age
person,age_detailed,63 years old,63,age
person,age_detailed,64 years old,64,age
person,age_detailed,65 years old,65,age
person,age_detailed,66 years old,66,age
person,age_detailed,67 years old,67,age
person,age_detailed,68 years old,68,age
person,age_detailed,69 years old,69,age
person,age_detailed,70 years old,70,age
person,age_detailed,71 years old,71,age
person,age_detailed,72 years old,72,age
person,age_detailed,73 years old,73,age
person,age_detailed,74 years old,74,age
person,age_detailed,75 years old,75,age
person,age_detailed,76 years old,76,age
person,age_detailed,77 years old,77,age
person,age_detailed,78 years old,78,age
person,age_detailed,79 years old,79,age
person,age_detailed,80 years old,80,age
person,age_detailed,81 years old,81,age
person,age_detailed,82 years old,82,age
person,age_detailed,83 years old,83,age
person,age_detailed,84 years old,84,age
person,age_detailed,85 years old,85,age
person,age_detailed,86 years old,86,age
person,age_detailed,87 years old,87,age
person,age_detailed,88 years old,88,age
person,age_detailed,89 years old,89,age
person,age_detailed,90 years old,90,age
person,age_detailed,91 years old,91,age
person,age_detailed,92 years old,92,age
person,age_detailed,93 years old,93,age
person,age_detailed,94 years old,94,age
person,age_detailed,95 years old,95,age
person,age_detailed,96 years old,96,age
person,age_detailed,97 years old,97,age
person,age_detailed,98 years old,98,age
person,age_detailed,99 or older,99,age
person,gender,Boy/Man (cisgender or transgender),1,sex
person,gender,Girl/Woman (cisgender or transgender),2,sex
person,gender,Non-binary/Something else fits better,9,sex
person,gender,Prefer not to answer,9,sex
person,adult_student,"No, not a student",0,student
person,adult_student,Part-time student,2,student
person,adult_student,Full-time student,1,student
person,adult_student,"Part-time student, currently attending some or all classes in-person",2,student
person,adult_student,"Part-time student, ONLY online classes",0,student
person,adult_student,"Full-time student, currently attending some or all classes in-person",1,student
person,adult_student,"Full-time student, ONLY online classes",0,student
person,adult_student,Missing Response,0,student
person,race_category,'White non-Hispanic',1,race
person,race_category,'Black or African American non-Hispanic',2,race
person,race_category,'AANHPI non-Hispanic',3,race
person,race_category,'Two or More Races non-Hispanic',4,race
person,race_category,'Some Other Race non-Hispanic',4,race
person,race_category,'Hispanic',5,race
person,race_category,'Child',8,race
person,race_category,'Missing Response',-1,race
trip,origin_purpose,Went home,"Home",opurp
trip,origin_purpose,"Accompany someone only (e.g., go along for the ride)","escort",opurp
trip,origin_purpose,BOTH pick up AND drop off,"escort",opurp
trip,origin_purpose,Drop someone off,"escort",opurp
trip,origin_purpose,Pick someone up,"escort",opurp
trip,origin_purpose,"Other activity at workplace only (e.g., attend meeting, pick-up or drop-off item)","work",opurp
trip,origin_purpose,Went to other work-related activity,"work",opurp
trip,origin_purpose,Went to primary workplace,"work",opurp
trip,origin_purpose,"Went to work-related place (e.g., meeting, second job, delivery)","work",opurp
trip,origin_purpose,Attend college/university,"school",opurp
trip,origin_purpose,Attend daycare or preschool,"school",opurp
trip,origin_purpose,Attend K-12 school,"school",opurp
trip,origin_purpose,"Attend other education-related activity (e.g., field trip)","othdiscr",opurp
trip,origin_purpose,"Attend other type of class (e.g., cooking class)","othdiscr",opurp
trip,origin_purpose,"Transferred to another mode of transportation (e.g., change from ferry to bus)","othdiscr",opurp
trip,origin_purpose,Other reason,"othdiscr",opurp
trip,origin_purpose,Missing Response,"othdiscr",opurp
trip,origin_purpose,Not imputable,"othdiscr",opurp
trip,origin_purpose,Volunteering,"social",opurp
trip,origin_purpose,Went to religious/community/volunteer activity,"social",opurp
trip,origin_purpose,"Went to exercise (e.g., gym, walk, jog, bike ride)","social",opurp
trip,origin_purpose,"Attended recreational event (e.g., movies, sporting event)","social",opurp
trip,origin_purpose,"Attended social event (e.g., visit with friends, family, co-workers)","social",opurp
trip,origin_purpose,Other social/leisure,"social",opurp
trip,origin_purpose,"Went to another residence (e.g., someone else's home, second home)","social",opurp
trip,origin_purpose,"Went to temporary lodging (e.g., hotel, vacation rental)","social",opurp
trip,origin_purpose,"Conducted personal business (e.g., bank, post office)","othmaint",opurp
trip,origin_purpose,"Went to medical appointment (e.g., doctor, dentist)","othmaint",opurp
trip,origin_purpose,Other appointment/errands,"othmaint",opurp
trip,origin_purpose,"Went to other shopping (e.g., mall, pet store)","shopping",opurp
trip,origin_purpose,Went grocery shopping,"shopping",opurp
trip,origin_purpose,Got gas,"shopping",opurp
trip,origin_purpose,Went to restaurant to eat/get take-out,"eatout",opurp
trip,dest_purpose,Went home,"Home",dpurp
trip,dest_purpose,"Accompany someone only (e.g., go along for the ride)","escort",dpurp
trip,dest_purpose,BOTH pick up AND drop off,"escort",dpurp
trip,dest_purpose,Drop someone off,"escort",dpurp
trip,dest_purpose,Pick someone up,"escort",dpurp
trip,dest_purpose,"Other activity at workplace only (e.g., attend meeting, pick-up or drop-off item)","work",dpurp
trip,dest_purpose,Went to other work-related activity,"work",dpurp
trip,dest_purpose,Went to primary workplace,"work",dpurp
trip,dest_purpose,"Went to work-related place (e.g., meeting, second job, delivery)","work",dpurp
trip,dest_purpose,Attend college/university,"school",dpurp
trip,dest_purpose,Attend daycare or preschool,"school",dpurp
trip,dest_purpose,Attend K-12 school,"school",dpurp
trip,dest_purpose,"Attend other education-related activity (e.g., field trip)","othdiscr",dpurp
trip,dest_purpose,"Attend other type of class (e.g., cooking class)","othdiscr",dpurp
trip,dest_purpose,"Transferred to another mode of transportation (e.g., change from ferry to bus)","othdiscr",dpurp
trip,dest_purpose,Other reason,"othdiscr",dpurp
trip,dest_purpose,Missing Response,"othdiscr",dpurp
trip,dest_purpose,Not imputable,"othdiscr",dpurp
trip,dest_purpose,Volunteering,"social",dpurp
trip,dest_purpose,Went to religious/community/volunteer activity,"social",dpurp
trip,dest_purpose,"Went to exercise (e.g., gym, walk, jog, bike ride)","social",dpurp
trip,dest_purpose,"Attended recreational event (e.g., movies, sporting event)","social",dpurp
trip,dest_purpose,"Attended social event (e.g., visit with friends, family, co-workers)","social",dpurp
trip,dest_purpose,Other social/leisure,"social",dpurp
trip,dest_purpose,"Went to another residence (e.g., someone else's home, second home)","social",dpurp
trip,dest_purpose,"Went to temporary lodging (e.g., hotel, vacation rental)","social",dpurp
trip,dest_purpose,"Conducted personal business (e.g., bank, post office)","othmaint",dpurp
trip,dest_purpose,"Went to medical appointment (e.g., doctor, dentist)","othmaint",dpurp
trip,dest_purpose,Other appointment/errands,"othmaint",dpurp
trip,dest_purpose,"Went to other shopping (e.g., mall, pet store)","shopping",dpurp
trip,dest_purpose,Went grocery shopping,"shopping",dpurp
trip,dest_purpose,Got gas,"shopping",dpurp
trip,dest_purpose,Went to restaurant to eat/get take-out,"eatout",dpurp
trip,driver,Driver,1,dorp
trip,driver,Passenger,2,dorp
trip,driver,Both (switched drivers during trip),3,dorp
trip,driver,Missing Response,3,dorp
trip,travelers_total,1 traveler,1,travelers
trip,travelers_total,2 travelers,2,travelers
trip,travelers_total,3 travelers,3,travelers
trip,travelers_total,4 travelers,4,travelers
trip,travelers_total,5 travelers,5,travelers
day,travel_dow,Monday,1,day
day,travel_dow,Tuesday,2,day
day,travel_dow,Wednesday,3,day
day,travel_dow,Thursday,4,day
day,travel_dow,Friday,5,day
day,travel_dow,Saturday,6,day
day,travel_dow,Sunday,7,day
